headline,url,title
"Review: In ‘Love, Cecil,’ an Aesthete Ahead of His Time",https://www.nytimes.com/2018/06/28/movies/love-cecil-beaton-documentary-review.html,"Love, Cecil, Review"
Review: An Alien Teaches a Teenage Punk ‘How to Talk to Girls at Parties’,https://www.nytimes.com/2018/05/24/movies/how-to-talk-to-girls-at-parties-review.html,How to Talk to Girls at Parties Review
"Review: In ‘Rogers Park,’ Life and Love in a Chicago Neighborhood",https://www.nytimes.com/2018/04/26/movies/review-rogers-park.html,"Rogers Park, Review"
"Review: In ‘Love & Bananas,’ Uncovering the Plight of the Asian Elephant",https://www.nytimes.com/2018/04/26/movies/love-and-bananas-review-asian-elephants.html,"Love & Bananas, Review"
"Review: If You Love Godard, You’ll Hate-Watch ‘Godard Mon Amour’",https://www.nytimes.com/2018/04/18/movies/godard-mon-amour-review.html,"Review: If You Love Godard, You Review"
"Review: In ‘Submergence,’ a Love Story Sunk by Geopolitics",https://www.nytimes.com/2018/04/12/movies/submergence-review-wim-wenders.html,"Submergence, Review"
"Review: In ‘Love After Love,’ an Unflinching Look at Extended Grief",https://www.nytimes.com/2018/03/29/movies/love-after-love-review.html,"Love After Love, Review"
Review: On Parole and in Love in ‘Outside In’,https://www.nytimes.com/2018/03/29/movies/outside-in-review-jay-duplass-edie-falco.html,Outside In Review
"Review: In ‘Love, Simon,’ a Glossy Teen Romance, the Hero Has a Secret",https://www.nytimes.com/2018/03/15/movies/love-simon-review.html,"Love, Simon, Review"
"Review: In ‘Keep the Change,’ Two People With Autism Find Love",https://www.nytimes.com/2018/03/15/movies/keep-the-change-review.html,"Keep the Change, Review"
Review: A London Night Goes Wrong in ‘The Party’,https://www.nytimes.com/2018/02/15/movies/the-party-review-timothy-spall-kristin-scott-thomas.html,The Party Review
"Review: In ‘The Housemaid,’ Twisted Love and Angry Ghosts in Vietnam",https://www.nytimes.com/2018/02/15/movies/the-housemaid-review.html,"The Housemaid, Review"
"Review: In ‘Forever My Girl,’ a Romance Resumes After a Long Break",https://www.nytimes.com/2018/01/19/movies/forever-my-girl-review.html,"Forever My Girl, Review"
Review: ‘Kangaroo: A Love-Hate Story’ Exposes a Wildlife Massacre,https://www.nytimes.com/2018/01/18/movies/kangaroo-a-love-hate-story-review.html,Kangaroo: A Love-Hate Story Review
Review: A Man and a Woman (and Another Woman) in ‘Lover for a Day’,https://www.nytimes.com/2018/01/11/movies/lover-for-a-day-review-philippe-garrel.html,Lover for a Day Review
"Review: In ‘Youth,’ the People’s Dance Troupe, in Love and War",https://www.nytimes.com/2017/12/14/movies/youth-review.html,"Youth, Review"
Review: ‘Killing for Love’ Revisits a Virginia Murder Case,https://www.nytimes.com/2017/12/14/movies/killing-for-love-review.html,Killing for Love Review
Review: ‘The Shape of Water’ Is Altogether Wonderful,https://www.nytimes.com/2017/11/30/movies/the-shape-of-water-review-guillermo-del-toro.html,The Shape of Water Review
"Review: In ‘Love Beats Rhymes,’ a Hip-Hop Artist Transformed by Poetry",https://www.nytimes.com/2017/11/30/movies/love-beats-rhymes-azealia-banks-rza.html,"Love Beats Rhymes, Review"
Review: ‘Cuba and the Cameraman’ Lavishes Love on a Country … and Castro,https://www.nytimes.com/2017/11/23/movies/cuba-and-the-cameraman-review.html,Cuba and the Cameraman Review
Review: ‘On the Beach at Night Alone’ Zooms in on a Love Affair,https://www.nytimes.com/2017/11/16/movies/on-the-beach-at-night-alone-review-hong-sang-soo.html,On the Beach at Night Alone Review
"Review: In ‘Thelma,’ a Woman in Love Can Burn Down the World",https://www.nytimes.com/2017/11/09/movies/review-in-thelma-a-woman-in-love-can-burn-down-the-world.html,"Thelma, Review"
"Review: ‘Hello Again,’ a Movie Musical Ode to Love and Lust Over Decades",https://www.nytimes.com/2017/11/07/movies/hello-again-review.html,"Hello Again, Review"
"Review: ‘It Happened in L.A.,’ All That Questing After Love",https://www.nytimes.com/2017/11/02/movies/it-happened-in-la-review.html,"It Happened in L.A., Review"
"Review: Love Is Wild, if Not Pretty, in ‘God’s Own Country’",https://www.nytimes.com/2017/10/24/movies/gods-own-country-review.html,God Review
Review: Love in a Cold Climate in ‘The Mountain Between Us’,https://www.nytimes.com/2017/10/05/movies/the-mountain-between-us-review-kate-winslet-idris-elba.html,The Mountain Between Us Review
"Review: In the Documentary ‘Dina,’ a Differently Abled Love Story",https://www.nytimes.com/2017/10/05/movies/dina-review.html,"Dina, Review"
Review: Love of Il Maestro Drives ‘In Search of Fellini’,https://www.nytimes.com/2017/09/14/movies/in-search-of-fellini-review.html,In Search of Fellini Review
"Review: ‘Woodpeckers,’ a Tale of Love and Agonizing Penal Confinement",https://www.nytimes.com/2017/09/14/movies/woodpeckers-review.html,"Woodpeckers, Review"
"Review: In ‘I Do ... Until I Don’t,’ Love and Loathing in Florida",https://www.nytimes.com/2017/08/31/movies/i-do-until-i-dont-review.html,I Do ... Until I Don Review
Review: ‘Tales of an Immoral Couple’: Love Means Having to Grow Up,https://www.nytimes.com/2017/08/24/movies/tales-of-an-immoral-couple-review.html,Tales of an Immoral Couple Review
Review: Staying Together ‘After Love’ and Regretting Every Moment,https://www.nytimes.com/2017/08/08/movies/after-love-review.html,After Love Review
Review: Aid Workers in Love and War in Sean Penn’s ‘The Last Face’,https://www.nytimes.com/2017/07/27/movies/the-last-face-review-charlize-theron-sean-penn.html,Review: Aid Workers in Love and War in Sean Penn Review
"Review: She Hosts ‘Women Who Kill,’ and May Be in Love With One",https://www.nytimes.com/2017/07/25/movies/women-who-kill-review.html,"Women Who Kill, Review"
"Review: With ‘False Confessions,’ the Play’s Not Quite the Thing",https://www.nytimes.com/2017/07/13/movies/false-confessions-review-isabelle-huppert.html,"False Confessions, Review"
